technique,clus,clus_params,num_clusters,homogeneity,completeness,v_measure
Doc2Vec,DBSCAN,eps=0.7000000000000001;min_samples=20,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.7000000000000001;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.7500000000000001;min_samples=5,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.7500000000000001;min_samples=10,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.7500000000000001;min_samples=15,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.7500000000000001;min_samples=20,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.7500000000000001;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.8;min_samples=5,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.8;min_samples=10,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.8;min_samples=15,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.8;min_samples=20,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.8;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.8500000000000001;min_samples=5,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.8500000000000001;min_samples=10,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.8500000000000001;min_samples=15,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.8500000000000001;min_samples=20,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.8500000000000001;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.9000000000000001;min_samples=5,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.9000000000000001;min_samples=10,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.9000000000000001;min_samples=15,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
Doc2Vec,DBSCAN,eps=0.9000000000000001;min_samples=20,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
